,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-04-25 22:00:00,804.6432662570278,327.43269508171284,751.0078983941232,860.7665104096596
2021-04-25 23:00:00,763.9166948158631,331.78393873125276,711.4507415814996,818.8936989742963
2021-04-26 00:00:00,752.5911382140201,193.29911164011813,719.2735441068327,786.9400804334053
2021-04-26 01:00:00,769.411371427794,196.09207834932943,735.1057126497478,804.786790786678
2021-04-26 02:00:00,747.6750314857969,198.8458192214768,713.5695094084991,782.8693940357753
2021-04-26 03:00:00,740.1008043546901,201.56194197407606,705.7765286511038,775.5398174919407
2021-04-26 04:00:00,721.6076876370549,204.24194741252686,687.4306628330686,756.919015500028
2021-04-26 05:00:00,697.5431663380875,206.8872391264429,663.724080643589,732.512144983283
2021-04-26 06:00:00,664.3023184079346,209.499132083793,631.1876690411999,698.5757390183918
2021-04-26 07:00:00,659.0466009351662,212.07886027221835,625.712869519077,693.5644605404964
2021-04-26 08:00:00,708.3435034764834,214.62758351354492,672.9108722118499,745.0204748551599
2021-04-26 09:00:00,737.2787478899678,217.14639355827273,700.4428086792094,775.4067083477626
2021-04-26 10:00:00,752.2116868558411,219.63631955089954,714.4464848695604,791.3081893181935
2021-04-26 11:00:00,756.9518780239773,232.02616615918126,716.9238377757471,798.4689846588781
2021-04-26 12:00:00,759.7144109792084,242.15076503206484,717.8689950615698,803.1837884237837
2021-04-26 13:00:00,789.6707702699994,250.31974590930022,745.2819610864714,835.8190407023123
2021-04-26 14:00:00,792.3932857342063,257.00091040130854,746.7360333996025,839.9074510522453
2021-04-26 15:00:00,788.4313264843003,263.51273347241914,741.8013399567924,837.010034397643
2021-04-26 16:00:00,786.6954640431571,268.8011228023681,739.2210522361576,836.1960074203456
2021-04-26 17:00:00,793.0342396681309,273.98745689816053,744.3968044496062,843.7827755348544
2021-04-26 18:00:00,791.5927112223852,278.561937607408,742.2224606080554,843.1437305353004
2021-04-26 19:00:00,761.7176040914347,282.66245518631024,712.939797868113,812.7102808871481
2021-04-26 20:00:00,769.3140791358536,286.7043321268659,719.517015679103,821.3978809145765
2021-04-26 21:00:00,816.1565618423168,290.6900145320985,763.5960672888365,871.1178562639282
2021-04-26 22:00:00,824.914154804836,294.6217830321293,771.2678743321686,881.0360173224822
2021-04-26 23:00:00,780.8204781271943,298.5017680439942,728.4925223635386,835.6403853659413
2021-04-27 00:00:00,774.1122436872638,151.98617512957273,739.7518117669496,809.6009670941751
2021-04-27 01:00:00,788.9165911670227,154.18173964198337,753.5887929661109,825.415065973218
2021-04-27 02:00:00,766.8954982804298,156.34647500835936,731.8035069864669,803.1766228529373
2021-04-27 03:00:00,763.4961247526676,158.48164453983543,728.0467476044555,800.1649914626784
2021-04-27 04:00:00,750.6696386048088,160.58842755492057,715.1932036869963,787.3890613357995
2021-04-27 05:00:00,729.3983478123786,162.66792699568407,694.2077342774237,765.8485935016954
2021-04-27 06:00:00,700.2896548778424,164.7211761783665,665.6941640793839,736.1542293354855
2021-04-27 07:00:00,697.2953550493103,166.74914479569517,662.3898035718214,733.4990240464026
2021-04-27 08:00:00,741.6188655344857,168.75274426985473,704.6960537999896,779.9070854113868
2021-04-27 09:00:00,760.5014366000494,170.73283253996078,722.4697409554748,799.9460503235996
2021-04-27 10:00:00,778.1660605958892,172.69021835538229,739.0639823718078,818.7280650921429
2021-04-27 11:00:00,782.3479474311274,182.5040007029596,740.9069256579589,825.4233284112021
2021-04-27 12:00:00,782.7428563877851,190.54521795641395,739.4971639473297,827.7704935624131
2021-04-27 13:00:00,817.4542418021279,197.02854386275254,771.3455703561975,865.5042727645957
2021-04-27 14:00:00,821.7530129910743,202.326738022285,774.2512054036447,871.3066426003815
2021-04-27 15:00:00,817.8192384706882,207.48968827582758,769.3001543265228,868.4917259848008
2021-04-27 16:00:00,814.2186155588835,211.66023507229588,764.9034604633841,865.7703410303743
2021-04-27 17:00:00,819.3918523860988,215.75017840298307,768.9148982509021,872.1990224380694
2021-04-27 18:00:00,820.7261401033132,219.37011901089605,769.3614088737157,874.5016351394898
2021-04-27 19:00:00,788.810112269062,222.60685197087173,738.1780046593008,841.8824343121372
2021-04-27 20:00:00,797.1678664165956,225.79719213025768,745.434784829166,851.4230793336405
2021-04-27 21:00:00,846.4679662842476,228.94307895945536,791.7064100920934,903.8905879489075
2021-04-27 22:00:00,853.681017832822,232.04632044693648,797.8536397027704,912.252140937881
2021-04-27 23:00:00,802.9306225929338,235.10860524976377,748.8361764561731,859.7680402512533
2021-04-28 00:00:00,758.6072301646595,129.084344716129,724.4430151259356,793.9531214518571
2021-04-28 01:00:00,762.4433508504418,130.95485080846595,727.6618695862359,798.4439798420972
2021-04-28 02:00:00,742.8321112760929,132.79901298482122,708.2490087643886,778.6532090839785
2021-04-28 03:00:00,741.3237914669738,134.61791392388272,706.3286464470106,777.5898251170494
2021-04-28 04:00:00,734.6295571575814,136.41256411596817,699.4157429910516,771.1426481791932
2021-04-28 05:00:00,714.8524436632702,138.18390842702468,679.9094885547488,751.1111226931927
2021-04-28 06:00:00,692.5478820146718,139.93283191461404,657.9989872762204,728.4254498699456
2021-04-28 07:00:00,692.0473294269348,141.6601649974999,657.0990144184617,728.3568461196131
2021-04-28 08:00:00,729.404640293961,143.3666880645369,692.6265985540865,767.6128540693486
2021-04-28 09:00:00,747.0982793458217,145.05313559544174,709.2236581455134,786.4540213350737
2021-04-28 10:00:00,762.3868301318361,146.72019985518364,723.5011584548239,802.8028123132108
2021-04-28 11:00:00,765.7268554624219,155.06463183296,724.5404592371605,808.6262088117242
2021-04-28 12:00:00,763.343199434877,161.92361984852465,720.4739130347102,808.0775180153302
2021-04-28 13:00:00,800.2922297428938,167.45266446653355,754.3971508500202,848.2281015033682
2021-04-28 14:00:00,798.414134204097,171.9703345590802,751.3913137486198,847.5869036649314
2021-04-28 15:00:00,794.892689308883,176.37232520943442,746.8530240965356,845.1889434375161
2021-04-28 16:00:00,791.8162811447492,179.94184436696185,742.9691483346325,843.0078611207343
2021-04-28 17:00:00,798.9772411011776,183.44191889692326,748.8662034043753,851.5354740530199
2021-04-28 18:00:00,800.8749095721694,186.53377855403681,749.8492664449598,854.4338504779445
2021-04-28 19:00:00,767.7596047828497,189.29429634272023,717.6083569456804,820.466846805055
2021-04-28 20:00:00,770.2281235333813,192.0151314717794,719.2518649752296,823.8384792603543
2021-04-28 21:00:00,817.9255623947275,194.69794760182725,763.8773366122515,874.7620208620829
2021-04-28 22:00:00,823.7690119500435,197.34429529784492,768.7122061582778,881.7002632865672
2021-04-28 23:00:00,776.979855186719,199.95562250870105,723.6031812806079,833.2251054700635
2021-04-29 00:00:00,775.6423048358677,104.77201187455411,740.8174051196496,811.7213245955546
2021-04-29 01:00:00,774.8162580200831,106.23782258413385,739.5421504885578,811.3790705040489
2021-04-29 02:00:00,751.9951194226174,107.68368224849155,717.0718009064653,788.2209330895042
2021-04-29 03:00:00,753.1501266504512,109.11038400523704,717.730413385724,789.9082042116634
2021-04-29 04:00:00,747.3081968122715,110.51866979359858,711.6566735501882,784.3270066246852
2021-04-29 05:00:00,730.1166007368565,111.90923486523658,694.6730789148313,766.9442571745507
2021-04-29 06:00:00,714.2023784240832,113.28273179659332,678.942493605036,750.8635479122115
