,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-04-15 22:00:00,762.3420212110947,49.05663414930401,698.6835993639336,831.7068612676246
2021-04-15 23:00:00,754.207862522703,49.61479574222454,690.5330911246629,823.6592798200389
2021-04-16 00:00:00,748.2226614207293,50.166747542836845,684.3736613426987,817.932145752487
2021-04-16 01:00:00,724.3945181644743,41.03662106293104,683.8802549679197,767.1795712595612
2021-04-16 02:00:00,665.9780894840666,43.07713186089208,626.7683234032346,707.5081872257895
2021-04-16 03:00:00,670.8045231965937,44.78945207415311,629.801913835854,714.3319617252604
2021-04-16 04:00:00,647.1772685667554,46.23941420079925,606.3049577461081,690.6553119503458
2021-04-16 05:00:00,623.5429619643297,47.46425141569681,583.078588535158,666.6627832411203
2021-04-16 06:00:00,573.3247165726464,48.65826650500289,535.0551129650555,614.1824272299494
2021-04-16 07:00:00,582.8145545074017,49.67124618509831,543.1605583455148,625.2056226020703
2021-04-16 08:00:00,620.4904077793092,50.6639763134459,577.5904498229293,666.4027238512452
2021-04-16 09:00:00,693.1778540880296,51.5622211905384,644.6972575016111,745.1049071352926
2021-04-16 10:00:00,715.6184466299585,52.38083301627005,664.8809457157349,770.0159614867484
2021-04-16 11:00:00,721.6170261521303,53.18684687829055,669.7158737461064,777.320125387279
2021-04-16 12:00:00,717.7600871365544,53.98082709843453,665.3792558219475,774.0384661821778
2021-04-16 13:00:00,715.7357052828332,54.76329708488563,662.7654074889172,772.7072448564317
2021-04-16 14:00:00,721.626276053639,55.534743368307744,667.5170172185044,779.880738500117
2021-04-16 15:00:00,709.092735025464,56.29561914003753,655.1753688361739,767.2032276517549
2021-04-16 16:00:00,706.6280310591152,57.04634736542313,652.1991632825584,765.3492111065407
2021-04-16 17:00:00,715.0258786184409,57.78732353304552,659.2943377531452,775.2089797627748
2021-04-16 18:00:00,726.508550818711,58.51891809055656,669.2375151310481,788.4103924887213
2021-04-16 19:00:00,734.6102385385219,59.24147860971813,676.0452208132832,797.9686678563346
2021-04-16 20:00:00,738.7249484445351,59.95533171655469,679.166505632249,803.2177552050929
2021-04-16 21:00:00,734.3403150304161,60.66078481703467,674.449029044766,799.2558928664535
2021-04-16 22:00:00,752.8466370388866,61.35812764414387,690.8442544780681,820.1057138462612
2021-04-16 23:00:00,743.0796437865124,62.047633648444446,681.1823578561398,810.2898295977211
2021-04-17 00:00:00,734.1192280729585,62.729561251041325,672.2872204859469,801.3227859932732
2021-04-17 01:00:00,721.542113611985,57.21282502377881,681.7956560413062,763.3518299338947
2021-04-17 02:00:00,665.903846344875,60.048224197820865,627.1382124597443,706.8024524544046
2021-04-17 03:00:00,663.5223559079593,62.42650980561937,623.393293312209,705.9501958981358
2021-04-17 04:00:00,639.9089003233171,64.43397315745,599.8524151182253,682.3451582998129
2021-04-17 05:00:00,613.0509565516036,66.12723450735464,573.5259797236422,654.9987999178478
2021-04-17 06:00:00,566.8156171983641,67.77820734075495,529.0892313625752,606.9341888263708
2021-04-17 07:00:00,576.5248808563246,69.1656076860938,537.4583003962193,618.1163262197599
2021-04-17 08:00:00,617.2768370307726,70.52572000941859,574.9450437427331,662.3796364175638
2021-04-17 09:00:00,688.2693424527695,71.75860582418163,640.7944038664058,738.8712258534578
2021-04-17 10:00:00,713.1353350792876,72.87824262164389,663.3807642513538,766.2071140763172
2021-04-17 11:00:00,715.9847305114913,73.98093663510966,665.3205083307287,770.0781354407999
2021-04-17 12:00:00,712.7886903956343,75.06743450523021,661.6112855924201,767.4842842449549
2021-04-17 13:00:00,711.9726041139537,76.13842959364177,660.1429345435519,767.4183129058009
2021-04-17 14:00:00,708.4149848912879,77.19456715841383,656.1268993839906,764.4054395182524
2021-04-17 15:00:00,700.9189376371969,78.23644890052067,648.453826950037,757.155169117117
2021-04-17 16:00:00,703.6239427238484,79.26463697231382,650.3090245509634,760.8216023403209
2021-04-17 17:00:00,707.7973142147559,80.27965752381868,653.5359405620713,766.0602240372667
2021-04-17 18:00:00,718.6404948436746,81.28200385036368,662.9696799171629,778.4630906418341
2021-04-17 19:00:00,730.3002846224803,82.27213919498783,673.1544042722632,791.7542814169057
2021-04-17 20:00:00,729.3716436072655,83.25049925080552,671.6371441532399,791.5129214896372
2021-04-17 21:00:00,719.7238914790398,84.2174944016817,662.038777605114,781.8714976531068
2021-04-17 22:00:00,739.1152087325538,85.17351173390826,679.3880332221279,803.5038770260917
2021-04-17 23:00:00,729.5979559933568,86.1189168468528,669.9326694092015,793.9801852904815
2021-04-18 00:00:00,725.4849444631365,87.0540554866004,665.5024130150002,790.2659270584256
2021-04-18 01:00:00,754.4759779260639,67.49822627991286,713.1117686816502,797.9139315645076
2021-04-18 02:00:00,708.1280058005964,70.84274306826181,667.1040932489926,751.3313921374797
2021-04-18 03:00:00,705.9627843900136,73.6543780382633,663.4682461320427,750.8079113581816
2021-04-18 04:00:00,682.7746297441417,76.0244057218954,640.2117339058907,727.7805929396058
2021-04-18 05:00:00,657.3300672798703,78.02910230994404,615.102748109199,702.0595571255672
2021-04-18 06:00:00,608.9956753449093,79.98356924533985,568.5364736413309,651.9392447036977
2021-04-18 07:00:00,620.6966137038548,81.62920529945498,578.7375197380647,665.2801482859935
