,mean,mean_ci_lower,mean_ci_upper,mean_se
3/21/2021 1:00,668.4041326,633.4067885,706.7383356,0.375275937
3/21/2021 2:00,618.8844519,587.5316335,653.1207062,0.381527868
3/21/2021 3:00,647.8007522,613.4983575,685.4143241,0.387678989
3/21/2021 4:00,634.4226661,600.774958,671.3240495,0.393734027
3/21/2021 5:00,638.0594014,603.6049632,675.9119115,0.399697347
3/21/2021 6:00,578.145563,548.4044914,610.6680055,0.405572995
3/21/2021 7:00,586.0900842,555.263154,619.8708818,0.411364728
3/21/2021 8:00,630.4222218,595.2382519,669.2045023,0.417076042
3/21/2021 9:00,672.9595058,633.3191693,716.9030478,0.422710196
3/21/2021 10:00,683.8455296,642.646605,729.6300253,0.428270236
3/21/2021 11:00,689.4556409,645.8350258,738.2035078,0.448521456
3/21/2021 12:00,689.0912482,643.9055225,739.805299,0.465972662
3/21/2021 13:00,687.2680239,640.9561392,739.4223609,0.480466198
3/21/2021 14:00,687.1190352,639.6933935,740.6916345,0.492914172
3/21/2021 15:00,686.3236579,637.8901282,741.1943044,0.505055437
3/21/2021 16:00,685.6769118,636.3602638,741.6909079,0.515693366
3/21/2021 17:00,686.9711086,636.5650163,744.3796744,0.526116242
3/21/2021 18:00,683.3142502,632.5159,741.2756285,0.535398721
3/21/2021 19:00,681.6913792,630.3350869,740.4001973,0.543907479
3/21/2021 20:00,681.557769,629.4776825,741.2160451,0.552285162
3/21/2021 21:00,685.313166,632.0334304,746.5007847,0.560537648
3/21/2021 22:00,680.2686877,626.9090515,741.6293366,0.568670387
3/21/2021 23:00,683.0238187,628.607201,745.7475088,0.576688446
3/22/2021 0:00,676.8541619,622.5449938,739.5221192,0.584596544
3/22/2021 1:00,676.7682529,642.4591534,714.1359545,0.491102545
3/22/2021 2:00,632.4130708,601.1609774,666.3749061,0.498546819
3/22/2021 3:00,657.8855309,624.1395711,694.6786467,0.505881558
3/22/2021 4:00,641.653384,608.7767821,677.4950295,0.51311146
3/22/2021 5:00,637.3485768,604.3888392,673.3110155,0.520240897
3/22/2021 6:00,577.5709769,549.0217393,608.5962896,0.527273943
3/22/2021 7:00,579.5206479,550.4556187,611.1466433,0.534214406
3/22/2021 8:00,629.5622517,596.0022257,666.2827085,0.541065848
3/22/2021 9:00,673.5636946,635.7585312,715.1361541,0.547831609
3/22/2021 10:00,679.3800936,640.6098503,722.0850643,0.554514826
3/22/2021 11:00,684.8549811,643.8220782,730.282264,0.580730794
3/22/2021 12:00,685.2211429,642.6667382,732.5178497,0.602873467
3/22/2021 13:00,684.3980483,640.7147564,733.1000976,0.620986698
3/22/2021 14:00,699.1472417,652.9114441,750.9097163,0.636288542
3/22/2021 15:00,687.3485014,641.3414697,738.9296562,0.65123094
3/22/2021 16:00,685.5837838,638.905329,738.0270089,0.664142161
3/22/2021 17:00,686.2011399,638.6151803,739.7865096,0.676807124
3/22/2021 18:00,686.7105309,638.3180804,741.3155272,0.688120837
3/22/2021 19:00,677.9790284,629.891711,732.2849697,0.698333433
3/22/2021 20:00,678.2611784,629.4893383,733.438704,0.708398815
3/22/2021 21:00,688.1902441,637.6293879,745.5553916,0.718323172
3/22/2021 22:00,681.9638425,631.4846929,739.2941322,0.72811227
3/22/2021 23:00,683.4297926,632.1485274,741.7796161,0.737771493
3/23/2021 0:00,673.2687208,622.577303,730.9745595,0.747305877
3/23/2021 1:00,691.8420117,657.0543685,729.6025173,0.660284277
3/23/2021 2:00,635.0895243,604.1797458,668.5490762,0.669933834
3/23/2021 3:00,663.1534712,629.6593174,699.5238402,0.67944636
3/23/2021 4:00,649.4803807,616.6161551,685.1723956,0.688827534
3/23/2021 5:00,641.6406609,608.9706899,677.1407506,0.69808265
3/23/2021 6:00,580.8322811,552.4644193,611.5490848,0.707216658
3/23/2021 7:00,580.6545292,551.9526232,611.7641644,0.716234191
3/23/2021 8:00,637.0260974,603.5177238,673.5418859,0.725139595
3/23/2021 9:00,678.776404,641.3933805,719.6871901,0.73393695
3/23/2021 10:00,686.1066767,647.6693917,728.2396557,0.742630098
3/23/2021 11:00,691.65655,650.990595,736.4455845,0.777621269
3/23/2021 12:00,699.1690867,656.3381468,746.5439365,0.806930108
3/23/2021 13:00,697.8907468,653.9829551,746.5962795,0.830733389
3/23/2021 14:00,704.4920083,658.9240636,755.194665,0.850777734
3/23/2021 15:00,697.6645125,651.7939711,748.7988685,0.870360582
3/23/2021 16:00,696.8419507,650.2185104,748.9208428,0.887138733
3/23/2021 17:00,700.0630099,652.2836504,753.5587251,0.9036054
3/23/2021 18:00,690.7829848,643.2529051,744.0515035,0.918298115
3/23/2021 19:00,683.4393707,636.0448769,736.606387,0.931553037
3/23/2021 20:00,685.1193334,636.9156497,739.2902682,0.944621985
3/23/2021 21:00,700.1628776,649.6846155,757.0638171,0.957512573
3/23/2021 22:00,696.4159014,645.7245917,753.6270317,0.970231911
3/23/2021 23:00,698.8242256,647.2429985,757.1450871,0.982786648
3/24/2021 0:00,690.7606004,639.4873139,748.7759803,0.995183012
3/24/2021 1:00,656.2645584,624.2598107,690.8402521,0.859086448
3/24/2021 2:00,611.4882212,582.3036205,642.9632655,0.871791434
3/24/2021 3:00,631.5249124,600.4654336,665.1022798,0.884313905
3/24/2021 4:00,621.9291246,591.1694999,655.1975007,0.896661508
3/24/2021 5:00,615.5562188,584.8740582,648.7619582,0.908841372
3/24/2021 6:00,561.7831428,534.7043854,591.0098655,0.920860151
3/24/2021 7:00,559.6863683,532.425683,589.1339505,0.932724073
3/24/2021 8:00,613.1987129,581.5457613,647.5556956,0.944438974
3/24/2021 9:00,655.9091172,620.4724002,694.5269444,0.956010332
3/24/2021 10:00,660.2485066,624.0488861,699.7502484,0.967443297
3/24/2021 11:00,667.008499,628.6119974,709.0992291,1.012566871
3/24/2021 12:00,670.3879456,630.3263741,714.4655179,1.050222332
3/24/2021 13:00,669.9047216,628.771608,715.2862825,1.080932185
3/24/2021 14:00,676.5714323,633.8698587,723.819589,1.106865991
3/24/2021 15:00,675.1836099,631.6870765,723.4177084,1.132205924
3/24/2021 16:00,672.5154722,628.4871441,721.4257948,1.153967441
3/24/2021 17:00,673.9059699,628.9657404,723.9324933,1.175326106
3/24/2021 18:00,660.751324,616.4389715,710.1105152,1.194634893
3/24/2021 19:00,659.0878342,614.3359305,709.0075105,1.21195477
3/24/2021 20:00,657.5353587,612.3461781,708.0136441,1.229030595
3/24/2021 21:00,666.9495384,620.1900842,719.3052936,1.245872401
3/24/2021 22:00,662.7673376,615.8618737,715.346045,1.262489555
3/24/2021 23:00,666.2808727,618.4227245,720.0245194,1.278890814
3/25/2021 0:00,659.2359275,611.56954,712.8079446,1.29508438
3/25/2021 1:00,638.8726202,608.2566558,671.8539314,1.02553013
3/25/2021 2:00,600.9297232,572.5701288,631.4444809,1.040516918
3/25/2021 3:00,618.4699372,588.4729,650.8147527,1.055290892
3/25/2021 4:00,607.5952851,577.9861984,639.5336174,1.069860868
3/25/2021 5:00,598.6946589,569.3497446,630.3625147,1.08423507
3/25/2021 6:00,551.397392,525.0868812,579.7312163,1.098421184
3/25/2021 7:00,547.3972121,521.0486479,575.7911519,1.112426406
3/25/2021 8:00,604.2751915,573.4164355,637.6874708,1.126257483
3/25/2021 9:00,648.7131299,614.0451745,686.3947327,1.139920755
3/25/2021 10:00,656.5542205,620.8649614,695.4038685,1.153422186
3/25/2021 11:00,657.0537997,619.715784,697.8622521,1.207682642
3/25/2021 12:00,659.8947516,620.9807472,702.5752937,1.25267661
3/25/2021 13:00,664.4429737,624.0313996,708.9010269,1.289468061
3/25/2021 14:00,663.7499169,622.4772362,709.257238,1.32042749
3/25/2021 15:00,663.1940212,621.0732646,709.7386263,1.350677472
3/25/2021 16:00,658.8260106,616.3577416,705.8283394,1.376393797
3/25/2021 17:00,655.0156462,612.1744715,702.5049509,1.401638376
3/25/2021 18:00,641.4750179,599.2890364,688.2659194,1.424440606
